"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 17","103.71","104.41","104.44","103.69","","-0.68%"
"2023- 03- 16","104.42","104.62","104.74","104.20","","-0.22%"
"2023- 03- 15","104.65","103.74","105.10","103.44","","1.01%"
"2023- 03- 14","103.60","103.67","104.05","103.50","","0.00%"
"2023- 03- 13","103.60","104.64","104.64","103.48","","-0.94%"
"2023- 03- 10","104.58","105.13","105.35","104.04","","-0.70%"
"2023- 03- 09","105.31","105.62","105.73","105.15","","-0.33%"
"2023- 03- 08","105.66","105.67","105.88","105.36","","0.04%"
"2023- 03- 07","105.61","104.30","105.65","104.12","","1.21%"
"2023- 03- 06","104.35","104.53","104.69","104.16","","-0.16%"
"2023- 03- 03","104.52","104.94","105.00","104.49","","-0.48%"
"2023- 03- 02","105.03","104.39","105.18","104.39","","0.52%"
"2023- 03- 01","104.48","105.04","105.09","104.09","","-0.37%"
"2023- 02- 28","104.87","104.63","105.00","104.42","","0.19%"
"2023- 02- 27","104.67","105.26","105.36","104.55","","-0.51%"
"2023- 02- 24","105.21","104.56","105.32","104.42","","0.59%"
"2023- 02- 23","104.60","104.50","104.78","104.31","","0.01%"
"2023- 02- 22","104.58","104.13","104.60","104.01","","0.39%"
"2023- 02- 21","104.18","103.91","104.26","103.77","","0.31%"
"2023- 02- 20","103.86","103.88","104.09","103.76","","0.00%"
"2023- 02- 17","103.86","104.20","104.67","103.84","","0.01%"
"2023- 02- 16","103.86","103.88","104.23","103.53","","-0.06%"
"2023- 02- 15","103.92","103.21","104.11","103.16","","0.67%"
"2023- 02- 14","103.23","103.22","103.52","102.59","","-0.11%"
"2023- 02- 13","103.35","103.58","103.84","103.24","","-0.28%"
"2023- 02- 10","103.63","103.25","103.68","102.90","","0.40%"
"2023- 02- 09","103.22","103.43","103.55","102.64","","-0.18%"
"2023- 02- 08","103.41","103.27","103.52","103.00","","-0.02%"
"2023- 02- 07","103.43","103.54","103.96","103.00","","-0.19%"
"2023- 02- 06","103.62","103.10","103.76","103.01","","0.69%"
"2023- 02- 03","102.92","101.83","103.01","101.55","","1.14%"
"2023- 02- 02","101.75","100.85","101.91","100.82","","0.53%"
"2023- 02- 01","101.22","102.10","102.18","101.04","","-0.86%"
"2023- 01- 31","102.10","102.19","102.61","102.01","","-0.18%"
"2023- 01- 30","102.28","101.92","102.31","101.66","","0.34%"
"2023- 01- 27","101.93","101.71","102.19","101.68","","0.09%"
"2023- 01- 26","101.84","101.58","102.18","101.50","","0.19%"
"2023- 01- 25","101.64","102.00","102.12","101.58","","-0.27%"
"2023- 01- 24","101.92","101.99","102.43","101.72","","-0.22%"
"2023- 01- 23","102.14","101.99","102.28","101.59","","0.12%"
"2023- 01- 20","102.01","102.07","102.55","101.94","","-0.05%"
