"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 21","12,741.44","12,643.35","12,762.45","12,582.76","302.52M","1.42%"
"2023- 03- 20","12,562.61","12,487.79","12,578.35","12,407.82","291.23M","0.34%"
"2023- 03- 17","12,519.88","12,570.16","12,674.34","12,444.08","715.66M","-0.49%"
"2023- 03- 16","12,581.39","12,211.87","12,595.69","12,190.65","344.26M","2.69%"
"2023- 03- 15","12,251.32","12,083.24","12,269.45","12,026.18","343.36M","0.42%"
"2023- 03- 14","12,199.79","12,078.46","12,217.87","12,035.22","324.30M","2.32%"
"2023- 03- 13","11,923.17","11,752.10","12,073.95","11,695.41","351.06M","0.79%"
"2023- 03- 10","11,830.28","12,001.70","12,069.62","11,789.86","308.68M","-1.38%"
"2023- 03- 09","11,995.88","12,230.84","12,340.45","11,970.34","275.90M","-1.80%"
"2023- 03- 08","12,215.33","12,181.06","12,237.72","12,102.28","234.18M","0.52%"
"2023- 03- 07","12,152.17","12,303.19","12,344.05","12,130.01","259.81M","-1.22%"
"2023- 03- 06","12,302.48","12,344.65","12,466.88","12,297.57","239.56M","0.09%"
"2023- 03- 03","12,290.81","12,110.70","12,300.46","12,095.24","279.00M","2.04%"
"2023- 03- 02","12,044.87","11,830.09","12,074.59","11,830.09","245.37M","0.89%"
"2023- 03- 01","11,938.57","12,026.72","12,054.48","11,906.58","248.48M","-0.86%"
"2023- 02- 28","12,042.12","12,041.75","12,146.52","12,021.32","316.62M","-0.13%"
"2023- 02- 27","12,057.79","12,106.79","12,159.64","12,034.61","225.91M","0.74%"
"2023- 02- 24","11,969.65","11,979.80","12,018.32","11,900.84","263.45M","-1.73%"
"2023- 02- 23","12,180.14","12,224.44","12,227.40","12,003.31","284.88M","0.94%"
"2023- 02- 22","12,066.27","12,085.67","12,156.21","12,006.04","265.18M","0.05%"
"2023- 02- 21","12,060.30","12,205.21","12,257.06","12,058.23","291.79M","-2.41%"
"2023- 02- 17","12,358.18","12,352.30","12,385.52","12,233.79","265.45M","-0.68%"
"2023- 02- 16","12,442.48","12,495.07","12,653.40","12,440.00","294.55M","-1.93%"
"2023- 02- 15","12,687.89","12,531.60","12,689.34","12,486.42","248.82M","0.77%"
"2023- 02- 14","12,590.89","12,413.10","12,627.40","12,356.32","274.38M","0.71%"
"2023- 02- 13","12,502.31","12,356.50","12,522.78","12,313.44","256.04M","1.60%"
"2023- 02- 10","12,304.92","12,306.59","12,375.72","12,204.22","266.99M","-0.62%"
"2023- 02- 09","12,381.17","12,677.54","12,679.54","12,327.44","310.65M","-0.91%"
"2023- 02- 08","12,495.38","12,680.03","12,709.45","12,471.11","306.97M","-1.83%"
"2023- 02- 07","12,728.27","12,474.95","12,771.58","12,419.71","319.73M","2.12%"
"2023- 02- 06","12,464.51","12,468.81","12,558.88","12,411.88","252.29M","-0.87%"
"2023- 02- 03","12,573.36","12,520.95","12,828.71","12,520.95","343.68M","-1.79%"
"2023- 02- 02","12,803.14","12,655.18","12,880.98","12,600.76","406.80M","3.56%"
"2023- 02- 01","12,363.10","12,087.92","12,458.88","12,010.74","349.60M","2.16%"
"2023- 01- 31","12,101.93","11,915.94","12,104.13","11,915.94","316.87M","1.59%"
"2023- 01- 30","11,912.39","12,047.16","12,087.68","11,906.11","278.71M","-2.09%"
"2023- 01- 27","12,166.60","12,000.21","12,248.15","11,999.87","344.54M","0.96%"
"2023- 01- 26","12,051.48","11,972.57","12,055.81","11,853.37","270.09M","2.00%"
"2023- 01- 25","11,814.69","11,636.01","11,841.81","11,550.07","257.78M","-0.27%"
"2023- 01- 24","11,846.65","11,802.95","11,889.37","11,780.07","218.61M","-0.22%"
"2023- 01- 23","11,872.54","11,652.00","11,918.86","11,617.83","289.73M","2.18%"
"2023- 01- 20","11,619.03","11,363.85","11,623.20","11,329.54","343.98M","2.86%"
"2023- 01- 19","11,295.67","11,345.18","11,388.47","11,251.94","260.02M","-1.00%"
"2023- 01- 18","11,410.29","11,636.61","11,690.27","11,403.32","270.51M","-1.27%"
"2023- 01- 17","11,557.19","11,531.55","11,615.95","11,484.02","262.00M","0.14%"
"2023- 01- 13","11,541.48","11,362.13","11,547.96","11,347.60","229.40M","0.71%"
"2023- 01- 12","11,459.61","11,441.45","11,500.86","11,246.02","264.98M","0.50%"
"2023- 01- 11","11,402.52","11,259.16","11,403.89","11,220.75","279.25M","1.76%"
"2023- 01- 10","11,205.78","11,069.05","11,207.56","11,050.68","231.65M","0.88%"
"2023- 01- 09","11,108.44","11,133.07","11,304.84","11,085.33","274.10M","0.62%"
"2023- 01- 06","11,040.35","10,807.45","11,082.59","10,696.42","315.74M","2.78%"
"2023- 01- 05","10,741.22","10,837.25","10,842.33","10,728.26","279.98M","-1.59%"
"2023- 01- 04","10,914.80","10,949.34","10,981.46","10,785.53","292.08M","0.48%"
"2023- 01- 03","10,862.64","11,038.42","11,093.10","10,770.93","294.37M","-0.70%"
